date,samsung_price,lg_price
2023-06-08,70900,126700
2023-06-07,71000,125700
2023-06-05,71700,127200
2023-06-02,72200,123100
2023-06-01,70900,123000
2023-05-31,71400,122800
2023-05-30,72300,124900
2023-05-26,70300,112700
2023-05-25,68800,112600
2023-05-24,68500,113300
2023-05-23,68400,114200
2023-05-22,68500,113800
2023-05-19,68400,113400
2023-05-18,66200,113000
2023-05-17,65000,111900
2023-05-16,65400,110500
2023-05-15,64500,111500
2023-05-12,64100,111800
2023-05-11,64200,116200
2023-05-10,64600,114900
2023-05-09,65300,111900
2023-05-08,65900,112300
2023-05-04,65100,109200
2023-05-03,65400,109300
2023-05-02,65700,109500
2023-04-28,65500,109300
2023-04-27,64600,107700
2023-04-26,64100,108400
2023-04-25,63600,108900
2023-04-24,65200,107400
2023-04-21,65700,107800
2023-04-20,65300,110600
2023-04-19,65500,112900
2023-04-18,65600,111600
2023-04-17,65300,112200
2023-04-14,65100,115200
2023-04-13,66100,115300
2023-04-12,66000,114600
2023-04-11,65900,112600
2023-04-10,65700,113000
2023-04-07,65000,114300
2023-04-06,62300,113900
2023-04-05,63900,116800
2023-04-04,63600,115900
2023-04-03,63100,113800
2023-03-31,64000,115300
2023-03-30,63200,113100
2023-03-29,62700,113700
2023-03-28,62900,111800
2023-03-27,62100,113500
2023-03-24,63000,113000
2023-03-23,62300,111800
2023-03-22,61100,114200
2023-03-21,60300,113300
2023-03-20,60200,113900
2023-03-17,61300,117900
2023-03-16,59900,117500
2023-03-15,59800,117400
2023-03-14,59000,111800
2023-03-13,60000,117500
2023-03-10,59500,115700
2023-03-09,60100,117000
2023-03-08,60300,117500
2023-03-07,60700,114400
2023-03-06,61500,114500
2023-03-03,60500,110800
2023-03-02,60800,111400
2023-02-28,60600,111200
2023-02-27,60500,112700
2023-02-24,61300,113400
2023-02-23,62000,114700
2023-02-22,61100,111100
2023-02-21,62100,114000
2023-02-20,62700,113300
2023-02-17,62600,113900
2023-02-16,63700,114000
2023-02-15,62200,112800
2023-02-14,63200,113300
2023-02-13,62900,107200
2023-02-10,62800,110600
2023-02-09,63000,108000
2023-02-08,63100,107600
2023-02-07,61900,102000
2023-02-06,61600,101600
2023-02-03,63800,100800
2023-02-02,63500,100900
2023-02-01,61800,99100
2023-01-31,61000,100100
2023-01-30,63300,100400
2023-01-27,64600,98100
2023-01-26,63900,97900
2023-01-25,63400,96600
2023-01-20,61800,96300
2023-01-19,61500,96300
2023-01-18,60400,95200
2023-01-17,61000,94700
2023-01-16,61100,94400
2023-01-13,60800,94200
2023-01-12,60500,93700
2023-01-11,60500,94800
2023-01-10,60400,95100
2023-01-09,60700,95100
2023-01-06,59000,90700
2023-01-05,58200,89900
2023-01-04,57800,89700
2023-01-03,55400,85700
2023-01-02,55500,86400
2022-12-29,55300,86500
2022-12-28,56600,89400
2022-12-27,58100,89700
2022-12-26,57900,88900
2022-12-23,58100,90900
2022-12-22,59100,90300
2022-12-21,58000,85900
2022-12-20,58600,86100
2022-12-19,59500,86900
2022-12-16,59500,87200
2022-12-15,59300,88700
2022-12-14,60500,89900
2022-12-13,59700,88100
2022-12-12,59500,89800
2022-12-09,60400,91000
2022-12-08,59200,89800
2022-12-07,58900,90300
2022-12-06,59200,97200
2022-12-05,60300,96800
2022-12-02,60400,96600
2022-12-01,62600,96200
2022-11-30,62200,97600
2022-11-29,60600,93800
2022-11-28,60100,93200
2022-11-25,61000,89700
2022-11-24,61400,90500
2022-11-23,61000,90200
2022-11-22,60600,89500
2022-11-21,61400,90100
2022-11-18,61800,92000
2022-11-17,61400,92900
2022-11-16,62700,95600
2022-11-15,62400,96600
2022-11-14,61900,95600
2022-11-11,62900,94500
2022-11-10,60400,91900
2022-11-09,62000,93200
2022-11-08,61800,91300
2022-11-07,60200,90900
2022-11-04,59400,88600
2022-11-03,59200,82800
2022-11-02,59600,83700
2022-11-01,60000,82600
2022-10-31,59400,81600
2022-10-28,57300,79900
2022-10-27,59500,80200
2022-10-26,59400,77800
2022-10-25,57700,80100
2022-10-24,57500,80900
2022-10-21,55900,80800
2022-10-20,55500,81200
2022-10-19,55800,80600
2022-10-18,56500,82800
2022-10-17,56600,81700
2022-10-14,56300,80700
2022-10-13,55200,78100
2022-10-12,55800,79800
2022-10-11,55400,78200
2022-10-07,56200,81700
2022-10-06,56300,80600
2022-10-05,56000,79200
2022-10-04,55200,80700
2022-09-30,53100,78600
2022-09-29,52600,78000
2022-09-28,52900,79300
2022-09-27,54200,81300
2022-09-26,53900,81800
2022-09-23,54500,84900
2022-09-22,54400,85300
2022-09-21,55300,88000
2022-09-20,55800,89700
2022-09-19,56400,90400
2022-09-16,56200,90600
2022-09-15,56000,92000
2022-09-14,56800,94000
2022-09-13,58100,97900
2022-09-08,55600,93800
2022-09-07,56000,94400
2022-09-06,57100,96800
2022-09-05,57100,97200
2022-09-02,57500,97300
2022-09-01,58400,97700
2022-08-31,59700,101000
2022-08-30,58800,97500
2022-08-29,58600,96200
2022-08-26,60000,100500
2022-08-25,59700,99100
2022-08-24,59000,98100
2022-08-23,59100,98200
2022-08-22,60000,100000
2022-08-19,60900,101000
2022-08-18,61500,102000
2022-08-17,60400,103500
2022-08-16,61000,102000
2022-08-12,60200,101000
2022-08-11,59900,101000
2022-08-10,59100,92800
2022-08-09,60000,94700
2022-08-08,60800,94000
2022-08-05,61500,95900
2022-08-04,61500,96000
2022-08-03,61300,93800
2022-08-02,61700,93500
2022-08-01,61300,94400
2022-07-29,61400,94400
2022-07-28,61900,93600
2022-07-27,61800,94300
2022-07-26,61700,93600
2022-07-25,61100,93900
2022-07-22,61300,93500
2022-07-21,61800,94200
2022-07-20,60500,94100
2022-07-19,60900,92900
2022-07-18,61900,92500
2022-07-15,60000,90900
2022-07-14,57500,90200
2022-07-13,58000,91100
2022-07-12,58100,90400
2022-07-11,58800,91300
2022-07-08,58700,92000
2022-07-07,58200,95900
2022-07-06,56400,93100
2022-07-05,57200,95500
2022-07-04,57100,90200
2022-07-01,56200,89900
2022-06-30,57000,88300
2022-06-29,58000,90700
2022-06-28,59400,89000
2022-06-27,58800,89700
2022-06-24,58400,89000
2022-06-23,57400,88300
2022-06-22,57600,87200
2022-06-21,58500,91000
2022-06-20,58700,90200
2022-06-17,59800,93200
2022-06-16,60900,94400
2022-06-15,60700,93200
2022-06-14,61900,95300
2022-06-13,62100,95100
2022-06-10,63800,100500
2022-06-09,65200,102500
2022-06-08,65300,102000
